Date,Close,High,Low,Open,Volume
2014-01-02,1225.0,1227.300048828125,1204.300048828125,1204.300048828125,209
2014-01-03,1238.4000244140625,1239.0,1221.699951171875,1221.699951171875,142
2014-01-06,1237.800048828125,1247.0,1221.9000244140625,1232.800048828125,127
2014-01-07,1229.4000244140625,1242.4000244140625,1226.300048828125,1239.300048828125,73
2014-01-08,1225.300048828125,1227.5,1218.5999755859375,1227.5,189
2014-01-09,1229.300048828125,1229.300048828125,1225.800048828125,1225.800048828125,7
2014-01-10,1246.699951171875,1246.800048828125,1234.0,1235.0,58
2014-01-13,1250.9000244140625,1252.699951171875,1245.5,1250.5999755859375,46
2014-01-14,1245.199951171875,1251.300048828125,1242.0,1251.0,37
2014-01-15,1238.0999755859375,1243.199951171875,1238.0999755859375,1243.0999755859375,68
2014-01-16,1240.0,1242.800048828125,1239.0,1239.300048828125,48
2014-01-17,1251.699951171875,1254.300048828125,1239.699951171875,1239.699951171875,101
2014-01-21,1242.300048828125,1257.5,1240.0,1256.4000244140625,224
2014-01-22,1239.0,1242.0,1239.0,1241.699951171875,58
2014-01-23,1262.5999755859375,1264.199951171875,1235.199951171875,1235.199951171875,40
2014-01-24,1264.5,1269.4000244140625,1258.300048828125,1258.300048828125,38
2014-01-27,1263.5999755859375,1264.4000244140625,1254.4000244140625,1259.800048828125,92
2014-01-28,1251.0,1258.4000244140625,1251.0,1257.9000244140625,20
2014-01-29,1262.199951171875,1262.199951171875,1262.199951171875,1262.199951171875,137028
2014-01-30,1242.199951171875,1267.699951171875,1237.5,1267.0,45276
2014-01-31,1240.0999755859375,1254.5,1238.4000244140625,1243.5999755859375,5820
2014-02-03,1260.4000244140625,1266.300048828125,1241.199951171875,1242.4000244140625,2914
2014-02-04,1251.699951171875,1260.699951171875,1247.800048828125,1258.4000244140625,1745
2014-02-05,1257.300048828125,1273.699951171875,1253.0999755859375,1254.0,1616
2014-02-06,1257.5999755859375,1267.0,1253.5,1258.0,274
2014-02-07,1263.300048828125,1271.4000244140625,1257.9000244140625,1258.300048828125,436
2014-02-10,1274.800048828125,1277.300048828125,1265.699951171875,1269.5999755859375,742
2014-02-11,1290.0999755859375,1292.0,1273.800048828125,1274.0,562
2014-02-12,1295.300048828125,1296.199951171875,1285.5,1290.5,140
2014-02-13,1300.4000244140625,1303.5,1287.5,1293.300048828125,877
2014-02-14,1319.0,1320.699951171875,1301.699951171875,1301.699951171875,308
2014-02-18,1324.699951171875,1330.5999755859375,1313.9000244140625,1322.9000244140625,373
2014-02-19,1320.5999755859375,1321.5999755859375,1309.0999755859375,1318.300048828125,193
2014-02-20,1317.0999755859375,1323.5,1309.5999755859375,1310.699951171875,116
2014-02-21,1323.9000244140625,1328.300048828125,1317.4000244140625,1320.0,171
2014-02-24,1338.300048828125,1339.0,1321.4000244140625,1324.300048828125,93
2014-02-25,1343.0,1343.9000244140625,1333.0999755859375,1336.4000244140625,290
2014-02-26,1328.199951171875,1342.0,1325.5999755859375,1341.199951171875,485
2014-02-27,1331.5999755859375,1335.0,1324.5999755859375,1329.300048828125,369
2014-02-28,1321.4000244140625,1332.5999755859375,1321.0999755859375,1329.800048828125,239
2014-03-03,1350.0999755859375,1354.0999755859375,1332.9000244140625,1335.9000244140625,232
2014-03-04,1337.800048828125,1350.4000244140625,1332.199951171875,1350.4000244140625,80
2014-03-05,1340.199951171875,1341.0,1334.800048828125,1334.800048828125,32
2014-03-06,1351.699951171875,1351.699951171875,1333.300048828125,1338.0,59
2014-03-07,1338.0999755859375,1352.699951171875,1329.199951171875,1349.5,97
2014-03-10,1341.4000244140625,1344.699951171875,1330.5,1336.0,97
2014-03-11,1346.5,1352.4000244140625,1338.0999755859375,1340.0,53
2014-03-12,1370.300048828125,1370.5,1348.699951171875,1349.0999755859375,58
2014-03-13,1372.199951171875,1374.5,1366.5,1366.800048828125,23
2014-03-14,1379.0,1386.5999755859375,1371.0999755859375,1376.0999755859375,91
2014-03-17,1372.9000244140625,1391.4000244140625,1372.199951171875,1386.0999755859375,29
2014-03-18,1359.0,1361.800048828125,1353.4000244140625,1359.300048828125,35
2014-03-19,1341.4000244140625,1358.0,1332.699951171875,1357.0999755859375,57
2014-03-20,1330.5,1333.699951171875,1325.800048828125,1333.699951171875,72
2014-03-21,1336.0,1339.0999755859375,1335.800048828125,1339.0999755859375,3
2014-03-24,1311.199951171875,1333.0,1310.5,1333.0,103
2014-03-25,1311.4000244140625,1315.5,1307.5,1315.5,46
2014-03-26,1303.4000244140625,1315.199951171875,1303.4000244140625,1315.199951171875,4
2014-03-27,1294.699951171875,1294.699951171875,1294.699951171875,1294.699951171875,185016
2014-03-28,1293.800048828125,1299.4000244140625,1285.9000244140625,1292.199951171875,65486
2014-03-31,1283.4000244140625,1298.800048828125,1282.4000244140625,1294.300048828125,4121
2014-04-01,1279.5999755859375,1287.9000244140625,1277.300048828125,1285.0999755859375,884
2014-04-02,1290.5,1294.0999755859375,1280.199951171875,1280.199951171875,1099
2014-04-03,1284.4000244140625,1293.5,1282.699951171875,1290.800048828125,775
2014-04-04,1303.199951171875,1306.0999755859375,1284.4000244140625,1285.5,976
2014-04-07,1298.0,1304.0,1296.300048828125,1301.4000244140625,361
2014-04-08,1308.699951171875,1314.0999755859375,1296.5999755859375,1296.5999755859375,264
2014-04-09,1305.5,1313.5999755859375,1301.0999755859375,1309.5,191
2014-04-10,1320.0999755859375,1323.800048828125,1311.199951171875,1311.800048828125,127
